"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL2387080";"TASELISIB";"GDC-0032|RG-7604|TASELISIB|Taselisib";"Small molecule";"3.0";"460.54";"40";"887";"3.17";"118.67";"9";"1";"0";"5";"N";"0.49";"None";"3.63";"2.67";"2.67";"4";"MOL";"0";"34";"10";"2";"0";"460.2335";"-1.08";"NEUTRAL";"C24H28N8O2";"Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1";"BEUQXVWXFDOSAQ-UHFFFAOYSA-N";"InChI=1S/C24H28N8O2/c1-14(2)32-22(27-15(3)29-32)19-13-30-8-9-34-20-10-16(6-7-18(20)21(30)28-19)17-11-26-31(12-17)24(4,5)23(25)33/h6-7,10-14H,8-9H2,1-5H3,(H2,25,33)";"False";"0";"['TASELISIB', 'TASELISIB', '11l, GDC-0032', '3; GDC-0032; taselisib', 'TASELISIB', 'TASELISIB', 'Taselisib', 'Taselisib', 'TASELISIB', 'GDC0032', 'EUB0000685a', 'EUB0000685a', 'EUB0000685a', 'EUB0000685a', 'GDC-0032', 'EOS100674', 'Taselisib', 'EUB0000685a']";"['TASELISIB', 'TASELISIB', '2-{3-[2-(1-Isopropyl-3-methyl-1H-1,2-4-triazol-5-yl)-5,6-dihydrobenzo[f]imidazo[1,2-d][1,4]oxazepin-9-yl]-1H-pyrazol-1-yl}-2-methylpropanamide', '2-(4-(2-(1-isopropyl-3-methyl-1H-1,2,4-triazol-5-yl)-5,6-dihydrobenzo[f]imidazo[1,2-d][1,4]oxazepin-9-yl)-1H-pyrazol-1-yl)-2-methylpropanamide', 'TASELISIB', 'TASELISIB', 'Taselisib', 'Taselisib', 'TASELISIB', '2-(4-(2-(1-isopropyl-3-methyl-1H-1,2,4-triazol-5-yl)-5,6-dihydrobenzo[f]imidazo[1,2-d][1,4]oxazepin-9-yl)-1H-pyrazol-1-yl)-2-methylpropanamide', 'Taselisib', 'Taselisib', 'Taselisib', 'Taselisib', 'Taselisib', 'TASELISIB', 'Taselisib', 'Taselisib']"
"CHEMBL4085457";"RITLECITINIB";"PF-06651600|RITLECITINIB";"Small molecule";"4.0";"285.35";"34";"133";"1.94";"73.91";"4";"2";"0";"3";"N";"0.85";"13.59";"6.60";"1.47";"1.40";"2";"MOL";"0";"21";"6";"2";"0";"285.1590";"-0.84";"NEUTRAL";"C15H19N5O";"C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C";"CBRJPFGIXUFMTM-WDEREUQCSA-N";"InChI=1S/C15H19N5O/c1-3-13(21)20-8-11(5-4-10(20)2)19-15-12-6-7-16-14(12)17-9-18-15/h3,6-7,9-11H,1,4-5,8H2,2H3,(H2,16,17,18,19)/t10-,11+/m0/s1";"False";"0";"['PF-06651600', 'RITLECITINIB', 'PF-06651600; 6', '11', '23; PF-06651600', '8; PF-06651600', '3; PF-06651600', 'PF-06651600', '3; PF-06651600', 'PF-06651600', '7', 'COVC-0135627364', 'PF-06651600', '31', '11; PF-06651600', 'PF-06651600', '5; PF-06651600', '21']";"['PF-06651600', 'RITLECITINIB', '1-((2S,5R)-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-2-methylpiperidin-1-yl)prop-2-en-1-one', '1-((2S,5R)-5-((7H-Pyrrolo[2,3-d]pyrimidin-4-yl)-amino)-2-methylpiperidin-1-yl)prop-2-en-1-one', '1-((2S,5R)-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-2-methylpiperidin-1-yl)prop-2-en-1-one', '1-((2S,5R)-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-2-methylpiperidin-1-yl)prop-2-en-1-one', '1-((2S,5R)-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-2-methylpiperidin-1-yl)prop-2-en-1-one', '1-((2S,5R)-5-((7H-Pyrrolo[2,3-d]pyrimidin-4-yl)amino)-2-methylpiperidin-1-yl)prop-2-en-1-one', '1-((2S,5R)-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-2-methylpiperidin-1-yl)prop-2-en-1-one', 'PF-06651600', 'Ritlecitinib', 'PF-06651600', '1-((2S,5R)-5-((7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-2-methylpiperidin-1-yl)prop-2-en-1-one', 'Ritlecitinib', '1-((2S,5R)-5-((7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-2-methylpiperidin-1-yl)prop-2-en-1-one', 'Ritlecitinib', '1-((2S,5R)-5-((7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-2-methylpiperidin-1-yl)prop-2-en-1-one', 'Ritlecitinib']"
"CHEMBL3991932";"PEXMETINIB";"ARRY-614|PEXMETINIB|Pexmetinib";"Small molecule";"2.0";"556.64";"300";"311";"6.07";"106.23";"7";"3";"2";"8";"N";"0.22";"12.59";"2.01";"5.84";"5.84";"5";"MOL";"0";"41";"9";"3";"2";"556.2598";"-2.02";"NEUTRAL";"C31H33FN6O3";"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1";"LNMRSSIMGCDUTP-UHFFFAOYSA-N";"InChI=1S/C31H33FN6O3/c1-20-5-8-24(9-6-20)38-29(17-28(36-38)31(2,3)4)35-30(40)33-18-22-15-23(32)7-12-27(22)41-25-10-11-26-21(16-25)19-34-37(26)13-14-39/h5-12,15-17,19,39H,13-14,18H2,1-4H3,(H2,33,35,40)";"False";"0";"['Pexmetinib', 'pexmetinib', 'Pexmetinib (ARRY-614)', 'pexmetinib', 'PEXMETINIB', 'PEXMETINIB (ARRY-614)', 'Pexmetinib (ARRY-614)', 'Pexmetinib (ARRY-614)', 'EOS100996', 'ARRY-614']";"['Pexmetinib', 'pexmetinib', 'Pexmetinib (ARRY-614)', 'pexmetinib', 'PEXMETINIB', 'PEXMETINIB (ARRY-614)', 'Pexmetinib (ARRY-614)', 'Pexmetinib (ARRY-614)', 'pexmetinib', 'Pexmetinib']"
"CHEMBL4298156";"DERAZANTINIB HYDROCHLORIDE";"AQ14741087|ARQ 087.2HCl|DERAZANTINIB DIHYDROCHLORIDE|DERAZANTINIB HYDROCHLORIDE";"Small molecule";"1.0";"541.50";"None";"None";"5.49";"59.07";"5";"2";"1";"9";"N";"0.32";"13.80";"9.53";"6.13";"4.03";"4";"MOL";"0";"35";"5";"2";"1";"468.2325";"-0.88";"BASE";"C29H31Cl2FN4O";"COCCNCCc1cccc(Nc2ncc3c(n2)-c2ccccc2[C@H](c2ccccc2F)C3)c1.Cl.Cl";"OLDWOVJAXRWCGT-FBHGDYMESA-N";"InChI=1S/C29H29FN4O.2ClH/c1-35-16-15-31-14-13-20-7-6-8-22(17-20)33-29-32-19-21-18-26(24-10-4-5-12-27(24)30)23-9-2-3-11-25(23)28(21)34-29;;/h2-12,17,19,26,31H,13-16,18H2,1H3,(H,32,33,34);2*1H/t26-;;/m1../s1";"False";"0";"['DERAZANTINIB HYDROCHLORIDE']";"['DERAZANTINIB HYDROCHLORIDE']"
"CHEMBL3218576";"COPANLISIB";"BAY 80-6946|BAY-80-6946|BAY80-6946|COPANLISIB|Copanlisib";"Small molecule";"4.0";"480.53";"347";"1335";"0.66";"139.79";"11";"2";"1";"7";"N";"0.55";"10.15";"6.88";"0.32";"0.20";"2";"MOL";"0";"35";"12";"3";"1";"480.2234";"-1.06";"NEUTRAL";"C23H28N8O4";"COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21";"PZBCKZWLPGJMAO-UHFFFAOYSA-N";"InChI=1S/C23H28N8O4/c1-33-19-17(35-10-2-6-30-8-11-34-12-9-30)4-3-16-18(19)28-23(31-7-5-25-20(16)31)29-21(32)15-13-26-22(24)27-14-15/h3-4,13-14H,2,5-12H2,1H3,(H2,24,26,27)(H,28,29,32)";"False";"0";"['COPANLISIB', 'COPANLISIB', '46, BAY80-6946', '8; BAY 80-6946', 'BAY80-6946', '119; BAY 80-6946', 'BAY 80-6946', 'Copanlisib', 'Copanlisib', 'COPANLISIB', 'COPANLISIB', 'Copanlisib', 'Copanlisib', 'Copanlisib', '8; BAY80-6946', 'Copanlisib', 'EUB0001179a', 'EUB0001179a', 'copanlisib', 'EUB0001179a']";"['COPANLISIB', 'COPANLISIB', '2-amino-N-(7-methoxy-8-(3-morpholinopropoxy)-2,3-dihydroimidazo[1,2-c]quinazolin-5-yl)pyrimidine-5-carboxamide', '2-amino-N-(7-methoxy-8-(3-morpholinopropoxy)-2,3-dihydroimidazo[1,2-c]quinazolin-5-yl)pyrimidine-5-carboxamide', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'COPANLISIB', 'COPANLISIB', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'Copanlisib', 'copanlisib', 'Copanlisib']"
"CHEMBL3545154";"POZIOTINIB";"HM 781-36|HM 781-36B|HM-781-36|HM-781-36B|HM781-36B|NOV-1201|NOV-120101|POZIOTINIB|Poziotinib";"Small molecule";"3.0";"491.35";"284";"374";"5.38";"76.58";"6";"1";"1";"6";"N";"0.37";"13.99";"4.49";"4.50";"4.50";"3";"MOL";"0";"33";"7";"1";"1";"490.0975";"-0.82";"NEUTRAL";"C23H21Cl2FN4O3";"C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1";"LPFWVDIFUFFKJU-UHFFFAOYSA-N";"InChI=1S/C23H21Cl2FN4O3/c1-3-20(31)30-8-6-13(7-9-30)33-19-10-14-17(11-18(19)32-2)27-12-28-23(14)29-16-5-4-15(24)21(25)22(16)26/h3-5,10-13H,1,6-9H2,2H3,(H,27,28,29)";"False";"0";"['POZIOTINIB', '38; HM781e36B', 'POZIOTINIB (HM781-36B)', 'Poziotinib', 'Poziotinib', 'Ex 36', 'Poziotinib (HM781-36B)', 'Poziotinib', 'Poziotinib', 'Poziotinib (HM781-36B)', 'Poziotinib', 'Poziotinib (HM781-36B)', 'Poziotinib', 'COVC-0686235937', 'POZIOTINIB', 'cpd p', 'Poziotinib', 'Poziotinib', 'Poziotinib', 'EOS101609', '90']";"['POZIOTINIB', 'Poziotinib', 'POZIOTINIB (HM781-36B)', 'Poziotinib', 'Poziotinib', '1-(4-(4-(3,4-dichloro-2-fluorophenylamino)-7-methoxyquinazolin-6-yloxy)piperidin-1-yl)prop-2-en-1-one', 'Poziotinib (HM781-36B)', 'Poziotinib', 'Poziotinib', 'Poziotinib (HM781-36B)', 'Poziotinib', 'Poziotinib (HM781-36B)', 'Poziotinib', 'POZIOTINIB', 'POZIOTINIB', 'Poziotinib', 'Poziotinib', 'Poziotinib', 'Poziotinib', 'Poziotinib', 'Poziotinib']"
"CHEMBL4216467";"RIPRETINIB";"DCC-2618|Qinlock|RIPRETINIB";"Small molecule";"4.0";"510.37";"6";"29";"5.67";"88.05";"5";"3";"2";"5";"N";"0.32";"10.34";"5.85";"4.39";"4.38";"4";"MOL";"0";"33";"7";"3";"2";"509.0863";"-1.53";"NEUTRAL";"C24H21BrFN5O2";"CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21";"CEFJVGZHQAGLHS-UHFFFAOYSA-N";"InChI=1S/C24H21BrFN5O2/c1-3-31-21-12-22(27-2)28-13-14(21)9-17(23(31)32)16-10-20(19(26)11-18(16)25)30-24(33)29-15-7-5-4-6-8-15/h4-13H,3H2,1-2H3,(H,27,28)(H2,29,30,33)";"False";"1";"['4; DCC-2618', 'RIPRETINIB', 'RIPRETINIB', 'RIPRETINIB', 'RIPRETINIB', 'RIPRETINIB', 'Ripretinib', 'Ripretinib']";"['Ripretinib', 'RIPRETINIB', 'RIPRETINIB', 'RIPRETINIB', 'RIPRETINIB', 'RIPRETINIB', 'Ripretinib', 'Ripretinib']"
"CHEMBL4802156";"VEVORISERTIB";"VEVORISERTIB";"Small molecule";"1.0";"586.74";"3";"3";"5.52";"119.19";"8";"2";"2";"6";"N";"0.27";"None";"9.65";"4.22";"2.02";"5";"MOL";"0";"44";"9";"4";"2";"586.3169";"-1.07";"BASE";"C35H38N8O";"CC(=O)N(C)C1CCN(c2cccc(-c3ccc4nc(-c5cccnc5N)n(-c5ccc(C6(N)CCC6)cc5)c4n3)c2)CC1";"NZDSLYATTDIDPH-UHFFFAOYSA-N";"InChI=1S/C35H38N8O/c1-23(44)41(2)26-15-20-42(21-16-26)28-7-3-6-24(22-28)30-13-14-31-34(39-30)43(33(40-31)29-8-4-19-38-32(29)36)27-11-9-25(10-12-27)35(37)17-5-18-35/h3-4,6-14,19,22,26H,5,15-18,20-21,37H2,1-2H3,(H2,36,38)";"False";"0";"['VEVORISERTIB', '87; ARQ751']";"['VEVORISERTIB', 'N-(1-(3-(3-(4-(1-aminocyclobutyl)phenyl)-2-(2-aminopyridin-3-yl)-3H-imidazo[4,5-b]pyridin-5-yl)phenyl)piperidin-4-yl)-N-methylacetamide']"
"CHEMBL4114766";"ATUZABRUTINIB";"ATUZABRUTINIB|PRN-473|PRN473|SAR-444727|SAR444727";"Small molecule";"1.0";"539.62";"20";"69";"5.67";"122.95";"8";"1";"2";"5";"N";"0.26";"None";"4.01";"5.00";"5.00";"4";"MOL";"0";"40";"9";"2";"2";"539.2445";"-1.06";"NEUTRAL";"C30H30FN7O2";"CC(C)(C)/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1";"KZMQPYCXSAGLTB-ZWUNQBBJSA-N";"InChI=1S/C30H30FN7O2/c1-30(2,3)15-19(16-32)29(39)37-13-7-8-20(17-37)38-28-25(27(33)34-18-35-28)26(36-38)23-12-11-22(14-24(23)31)40-21-9-5-4-6-10-21/h4-6,9-12,14-15,18,20H,7-8,13,17H2,1-3H3,(H2,33,34,35)/b19-15+/t20-/m1/s1";"False";"0";"['BDBM197260', '11; PRN473', 'ATUZABRUTINIB']";"['US9090621, 125A', '2-((R)-3-(4-Amino-3-(2-fluoro-4-phenoxyphenyl)-1H-pyrazolo-[3,4-d]pyrimidin-1-yl)piperidine-1-carbonyl)-4,4-dimethylpent-2-enenitrile', 'ATUZABRUTINIB']"
"CHEMBL5315125";"DUVELISIB MONOHYDRATE";"Copiktra|DUVELISIB (AS HYDRATE)|DUVELISIB HYDRATE|DUVELISIB MONOHYDRATE";"Small molecule";"4.0";"434.89";"None";"None";"4.48";"88.49";"6";"2";"0";"4";"N";"0.45";"10.20";"3.42";"3.63";"3.63";"5";"MOL";"0";"30";"7";"2";"0";"416.1152";"-1.06";"NEUTRAL";"C22H19ClN6O2";"C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1.O";"FQLHRUBTGKTKPZ-ZOWNYOTGSA-N";"InChI=1S/C22H17ClN6O.H2O/c1-13(28-21-19-20(25-11-24-19)26-12-27-21)17-10-14-6-5-9-16(23)18(14)22(30)29(17)15-7-3-2-4-8-15;/h2-13H,1H3,(H2,24,25,26,27,28);1H2/t13-;/m0./s1";"False";"0";"['DUVELISIB MONOHYDRATE', 'DUVELISIB MONOHYDRATE']";"['DUVELISIB MONOHYDRATE', 'DUVELISIB MONOHYDRATE']"
